#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
33170	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	activator	target	Hu H (2022)	36308706	239366	3175	Oxidized Glutathione Disulfide	-	-	DRUGBANK	DB03310	C20H32N6O12S2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: PLPro activator	YPZRWBKMTBYPTK-DDHJBXDOSA-N
33176	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Vatansever EC (2021)	33597253	239619	1232	Bepridil	Bepridil|Bepadin	-	DRUGBANK	DB01244	C24H34N2O	small molecule	C08EA02	64706-54-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	UIEATEWHFDRYRU-UHFFFAOYSA-N
33177	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Vatansever EC (2021)	33597253	239619	9907	Ebastine	Ebastine|1-[4-(1,1-Dimethylethyl)phenyl]-4-[4-(diphenylmethoxy)-1-piperidinyl]-1-butanone|4'-tert-Butyl-4-[4-(diphenylmethoxy)piperidino]butyrophenone|4-Diphenylmethoxy-1-[3-(4-tert-butylbenzoyl)propyl]piperidine|4-[4-(Diphenylmethoxy)-1-piperidinyl]-1-[4-(2-methyl-2-propanyl)phenyl]-1-butanone|1-Butanone, 1-[4-(1,1-dimethylethyl)phenyl]-4-[4-(diphenylmethoxy)-1-piperidinyl]-|1-(4-tert-butylphenyl)-4-[4-(diphenylmethoxy)piperidin-1-yl]butan-1-one|Ebastin|MFCD00865661	-	CHEMSPIDER	3079	C32H39NO2	small molecule	-	90729-43-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	MJJALKDDGIKVBE-UHFFFAOYSA-N
33178	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Vatansever EC (2021)	33597253	239619	1088	Pimozide	Orap|Halomonth|Pimozida|Pimozide|Opiran|Pimozidum|Neoperidole	orap|pms-pimozide|orap tab 10m	DRUGBANK	DB01100	C28H29F2N3O	small molecule	N05AG02	2062-78-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	YVUQSNJEYSNKRX-UHFFFAOYSA-N
33181	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Nejat R (2021)	34319871	239529	668	Losartan	Losartan|(2-Butyl-4-chloro-1-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1H-imidazol-5-yl)methanol|2-N-Butyl-4-chloro-5-hydroxymethyl-1-[(2'-(1H-tetrazol-5-yl)biphenyl-4-yl)methyl]imidazole|DuP 89	jamp-losartan hctz|losartan/hc	DRUGBANK	DB00678	C22H23ClN6O	small molecule	C09CA01|C09DA01|C09DB06	114798-26-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: PLPro inhibitor	PSIFNNKUMBGKDQ-UHFFFAOYSA-N
33183	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Pitsillou E (2020)	33364229	239789	10247	hypericin	Hypericin|hypericum red|VIMRxyn|1,3,4,6,8,13-Hexahydroxy-10,11-dimethylphenanthro[1,10,9,8-opqra]perylene-7,14-dione|Phenanthro[1,10,9,8-opqra]perylene-7,14-dione, 1,3,4,6,8,13-hexahydroxy-10,11-dimethyl-|Cyclo werrol|1917913|MFCD00016683|7V2F1075HD|4,5,7,4',5',7'-Hexahydroxy-2,2'-dimethylnaphthodianthrone|CYCLOSAN	-	CHEMSPIDER	4444511	C30H16O8	small molecule	-	548-04-9	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: PLPro inhibitor	BTXNYTINYBABQR-UHFFFAOYSA-N
33184	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Pitsillou E (2020)	33364229	239789	1633	Rutin	rutoside|quercetin-3-rutinoside|Phytomelin|sophorin|2-(3,4-Dihydroxyphenyl)-5,7-Dihydroxy-4-Oxo-4h-Chromen-3-Yl 6-O-(6-Deoxy-Alpha-L-Mannopyranosyl)-Beta-D-Glucopyranoside	-	DRUGBANK	DB01698	C27H30O16	small molecule	C05CA01|C05CA51	153-18-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: PLPro inhibitor	IKGXIBQEEMLURG-BKUODXTLSA-N
33185	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Pitsillou E (2020)	33364229	239789	10183	cyanidin-3-O-glucoside	Chrysanthemin|asterin|Cyanidin 3-glucoside|Kuromanin|Cyanidin Chloride 3-Glucoside|KUROMANIN CHLORIDE|Cyanidin 3-O-glucoside chloride|2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-chromeniumyl beta-D-glucopyranoside chloride|2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-chromeniumyl-beta-D-glucopyranosidechlorid|beta-D-Glucopyranoside, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-1-benzopyrylium-3-yl, chloride (1:1)|2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl]oxy}chromenium chloride|2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl]oxy}chromeniumchlorid|2-(3,4-Dihydroxyphenyl)-5,7-dihydroxychromenium-3-yl beta-D-glucopyranoside chloride|MFCD27665410|CYANIDIN 3-GLUCOSIDE CHLORIDE|8X15R84UEM|Glucocyanidin chloride|Cyanidin 3-O-glucoside (chloride)|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1??-chromen-1-ylium chloride	-	CHEMSPIDER	170681	C21H21ClO11	small molecule	-	47705-70-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: PLPro inhibitor	YTMNONATNXDQJF-UBNZBFALSA-N
33186	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Hamed MIA (2021)	35493159	240073	602	Bisoprolol	(+-)-1-((alpha-(2-Isopropoxyethoxy)-P-tolyl)oxy)-3-(isopropylamino)-2-propanol|Bisoprololum|(RS)-1-(4-(2-isopropoxyethoxymethyl)phenoxy)-3-(isopropylamino)-2-propanol|Bisoprolol	monocor   -(5mg)|bisoprolol fu	DRUGBANK	DB00612	C18H31NO4	small molecule	C07BB07|C09BX02|C07FB07|C07AB07|C07AB57	66722-44-9	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	VHYCDWMUTMEGQY-UHFFFAOYSA-N
33187	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor/sars-cov-2 inhibitor	target	Hamed MIA (2021)	35493159	240073	4661	Nebivolol	alpha,alpha'-(iminodimethylene)bis-(6-fluoro-2-chromanmethanol)|Nebivololum|Narbivolol|1,1'-[Bis(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl)]-2,2'-iminodiethanol|alpha,alpha'-(iminobismethylene)bis-(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-methanol)|1,1'-Bis(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl)-2,2'-iminodiethanol	byvalson|nebivolol|bystolic	DRUGBANK	DB04861	C22H25F2NO4	small molecule	C07FB12|C07BB12|C07AB12	118457-14-0	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction: Viral Mpro/3CLpro protease inhibitor	KOHIRBRYDXPAMZ-UHFFFAOYSA-N
33191	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Costanzi E (2021)	34769210	240265	9567	Z-Leu-leu-leu-al	CBZ-LEU-LEU-LEU-AL|Z-LLL|BRD-0970|BENZYLOXYCARBONYL-LEU-LEU-LEUCINAL|COMPOUND 5B [PMID: 16686537]|DTXSID3042639|KBIOSS_000030|EX-A1500|MFCD00674886|KBIO3_000059|CARBOBENZOXYL-LEUCINYL-LEUCINYL-LEUCINAL-H|NCGC00161679-02|X7579|MG-132 [Z-LEU-LEU-LEU-CHO]|CCG-207860|Z-LEU-LEU-LEUCINAL|Q3272916|BRD0970|MG-132-1|AOB4946|BENZYLOXYCARBONYLLEUCYL-LEUCYL-LEUCINE ALDEHYDE|NCGC00161679-01|UNM000011053701|L-LEUCINAMIDE, N-((PHENYLMETHOXY)CARBONYL)-L-LEUCYL-N-(1-FORMYL-3-METHYLBUTYL)-, (S)-|SR-01000864598-1|CBZ-L-LEU-L-LEU-L-LEU-H|CCG-208036|N-BENZYLOXYCARBONYL-L-LEUCYL-L-LEUCYL-L-LEUCINAL|LLL CPD|Z-LEU-LEU-LEU-AL, >=90% (HPLC)|Z-LLLAL|BENZYLOXYCARBONYL-LEU-LEU-LEU-ALDEHYDE|MG 132|CS-0471|BENZYL N-[(1S)-3-METHYL-1-[[(1S)-3-METHYL-1-[[(2S)-4-METHYL-1-OXO-PENTAN-2-YL]CARBAMOYL]BUTYL]CARBAMOYL]BUTYL]CARBAMATE|SC-93546|133407-82-6|SW219780-1|KBIO3_000060|ZX-AFC000065|MG132/MG-132/|S2619|Z-LEU-LEU-LEU-AL|PHENYLMETHYL N-[(2S)-4-METHYL-1-[[(2S)-4-METHYL-1-[[(2S)-4-METHYL-1-OXOPENTAN-2-YL]AMINO]-1-OXOPENTAN-2-YL]AMINO]-1-OXOPENTAN-2-YL]CARBAMATE|CARBOBENZOXY-L-LEUCYL-L-LEUCYL-L-LEUCINAL|BIC3742|IDI1_033780|MG-132|BRD-K60230970-001-06-8|CARBOBENZOXY-LEUCYL-LEUCYL-LEUCINAL|Z-LEU-LEU-LEU-ALDEHYDE|HMS3402B12|CBZ-L-LEU-L-LEU-L-LEU-CHO|ABP000958|BRD-K60230970-001-08-4|(S)-N-((PHENYLMETHOXY)CARBONYL)-L-LEUCYL-N-(1-FORMYL-3-METHYLBUTYL)-L-LEUCINAMIDE|BIO2_000030|Z-L-LEU-L-LEU-L-LEU-H|(S)-4-METHYL-2-(3-PHENYL-PROPIONYLAMINO)-PENTANOIC ACID [(S)-1-((S)-1-FORMYL-3-METHYL-BUTYLCARBAMOYL)-3-METHYL-BUTYL]-AMIDE|ACN-047884|Z-LLL-ALDEHYDE|CBZ-LEU-LEU-LEUCINAL|N-[(BENZYLOXY)CARBONYL]-L-LEUCYL-N-[(1S)-1-FORMYL-3-METHYLBUTYL]-L-LEUCINAMIDE|NCGC00161679-03|BENZYL(S)-4-METHYL-1-((S)-4-METHYL-1-((S)-4-METHYL-1-OXOPENTAN-2-YLAMINO)-1-OXOPENTAN-2-YLAMINO)-1-OXOPENTAN-2-YLCARBAMATE|AS-55854|HY-13259|W-5117|L-LEUCINAMIDE, N-[(PHENYLMETHOXY)CARBONYL]-L-LEUCYL-N1-[(1S)-1-FORMYL-3-METHYLBUTYL]-|BRD-K60230970-001-05-0|SB19111|MLS006011220|N-[(BENZYLOXY)CARBONYL]-L-LEUCYL-N-[(2S)-4-METHYL-1-OXOPENTAN-2-YL]-L-LEUCINAMIDE|CARBOBENZOXY-LEU-LEU-LEUCINAL|{1-[1-(1-FORMYL-3-METHYL-BUTYLCARBAMOYL)-3-METHYL-BUTYLCARBAMOYL]-3-METHYL-BUTYL}-CARBAMIC ACID BENZYL ESTER|(R)-MG132|HMS1361B12|BSPBIO_001310|CC-245|HMS1989B12|C26H41N3O5|BIO2_000510|Z-LLL-H|MG132|PI-102|(S)-MG132|BENZYL N-[(1S)-1-[[(1S)-1-[[(1S)-1-FORMYL-3-METHYL-BUTYL]CARBAMOYL]-3-METHYL-BUTYL]CARBAMOYL]-3-METHYL-BUTYL]CARBAMATE|UNII-RF1P63GW3K|BENZYL ((S)-4-METHYL-1-(((S)-4-METHYL-1-(((S)-4-METHYL-1-OXOPENTAN-2-YL)AMINO)-1-OXOPENTAN-2-YL)AMINO)-1-OXOPENTAN-2-YL)CARBAMATE|SMR002530629|{(S)-1-[(S)-1-((S)-1-FORMYL-3-METHYL-BUTYLCARBAMOYL)-3-METHYL-BUTYLCARBAMOYL]-3-METHYL-BUTYL}-CARBAMIC ACID BENZYL ESTER|KS-00000XP9|QCR-183|BRD-K60230970-001-04-3|1211877-36-9|NCGC00161679-04|BRD-K60230970-001-07-6|KBIO2_005166|ZINC13476439|GTPL8616|BCBCMAP01_000028|HMS1791B12|N-[(PHENYLMETHOXY)CARBONYL]-L-LEUCYL-N-[(1S)-1-FORMYL-3-METHYLBUTYL]-L-LEUCINAMIDE|KBIO2_002598|L-LEUCINAMIDE, N-((PHENYLMETHOXY)CARBONYL)-L-LEUCYL-N-((1S)-1-FORMYL-3-METHYLBUTYL)-|Z-LLL-CHO|AKOS027420457|BENZYLOXYCARBONYL-LEUCYL-LEUCYL-LEUCINAL|ZLLL-CHO|Z-LEU-LEU-LEU-H|KBIO2_000030|N-[(PHENYLMETHOXY)CARBONYL]-L-LEUCYL-N-(1-FORMYL-3-METHYLBUTYL)-(S)-L-LEUCINAMIDE|KBIOGR_000030|BENZYL (S)-4-METHYL-1-((S)-4-METHYL-1-((S)-4-METHYL-1-OXOPENTAN-2-YLAMINO)-1-OXOPENTAN-2-YLAMINO)-1-OXOPENTAN-2-YLCARBAMATE|CTK8F0239|CBZ-LEU-LEU-LEU-H|AB0033810|{1-[(S)-(S)-1-((S)-1-FORMYL-3-METHYL-BUTYLCARBAMOYL)-3-METHYL-BUTYLCARBAMOYL]-3-METHYL-BUTYL}-CARBAMIC ACID BENZYL ESTER|RF1P63GW3K|BRD-K60230970-001-10-0|ZLLLAL|BDBM50069985	-	PUBCHEM	462382	C26H41N3O5	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Viral Mpro/3CLpro protease inhibitor	TZYWCYJVHRLUCT-VABKMULXSA-N
33192	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Lee S (2021)	34868052	240341	10285	Casirivimab	-	-	PUBCHEM	442064779	-	monoclonal antibody	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike binding (experimental), antiviral activity against SARS-CoV-2 WT, Alpha, Beta and Gamma variants	-
33193	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Lee S (2021)	34868052	240341	10286	Imdevimab	-	-	PUBCHEM	442064836	-	monoclonal antibody	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike binding (experimental), antiviral activity against SARS-CoV-2 WT, Alpha, Beta and Gamma variants	-
33194	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Kiyan Y (2022)	36207386	240352	10173	CaD/Calcium dobesilate	Calcium Doxybensylate|Calcium bis(2,5-dihydroxybenzenesulfonate)|MFCD00867249|5921X1560Q|205E|Benzenesulfonic acid, 2,5-dihydroxy-, calcium salt (2:1)|2,5-Dihydroxybenzenesulfonic acid calcium salt|calcium 2,5-dihydroxybenzenesulfonate|Calcium dobesilate|Dobesilate calcium	-	CHEMSPIDER	27837	C12H10CaO10S2	small molecule	-	20123-80-2	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike-heparan sulfate interaction inhibitor, Spike binding undetermined	QGNBTYAQAPLTMX-UHFFFAOYSA-L
33195	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Zhou L (2022)	36053674	240134	10287	HLX70	-	-	PUBCHEM	468403880	-	monoclonal antibody	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : WT, Delta, and Omicron variant Spike binding (experimental) (PMID 33264452 and 36053674), antiviral activity against SARS-CoV-2 WT, Alpha (B.1.1.7) and Epsilon (B.1.429) variants (PMID 34285198 and 33262452)	-
33196	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Wnorowska S (2022)	35846513	240057	10269	carlina oxide	Carlina oxide|furan, 2-(3-phenyl-1-propynyl)-|2-(3-Phenyl-1-propyn-1-yl)furan|Furan, 2-(3-phenyl-1-propyn-1-yl)-	-	CHEMSPIDER	144325	C13H10O	small molecule	-	502-22-7	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike-ACE2 interaction inhibitor, Spike binding (computational)	ICRHFCVRNWSKQH-UHFFFAOYSA-N
33200	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Kiew LV (2021)	33857754	240463	10270	Ramiprilat	Ramiprilat|6N5U4QFC3G|(2S,3aS,6aS)-1-[(2S)-2-{[(1S)-1-Carboxy-3-phenylpropyl]amino}propanoyl]octahydrocyclopenta[b]pyrrole-2-carboxylic acid	-	CHEMSPIDER	4576531	C21H28N2O5	small molecule	-	87269-97-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike-ACE2 interaction inhibitor, ACE2 binding (experimental)	KEDYTOTWMPBSLG-HILJTLORSA-N
33201	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Kiew LV (2021)	33857754	240463	10184	Perindoprilat	2UV6ZNQ92K|(2S-(1(R*(R*)),2a,3ab,7ab))-Octahydro-1-(2-((1-carboxybutyl)amino)-1-oxopropyl)-1H-indole-2-carboxylic Acid|Perindoprilat|S-9780|(2S,3aS,7aS)-1-[(2S)-2-{[(1S)-1-Carboxybutyl]amino}propanoyl]octahydro-1H-indole-2-carboxylic acid	-	CHEMSPIDER	65017	C17H28N2O5	small molecule	-	95153-31-4	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike-ACE2 interaction inhibitor, ACE2 binding (experimental)	ODAIHABQVKJNIY-PEDHHIEDSA-N
33202	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Kiew LV (2021)	33857754	240463	171	Ramipril	Ramiprilum|(2S-(1(R*(r*)),2alpha,3abeta,6abeta))-1-(2-((1-(ethoxycarbonyl)-3-phenylpropyl)amino)-1-oxopropyl)octahydrocyclopenta(b)pyrrole-2-carboxylic acid|Ramipril|Altace (tn)|Tritace	ava-ramipril|altace hct|ramipr	DRUGBANK	DB00178	C23H32N2O5	small molecule	C09AA05|C09BA05|C09BB05|C09BB07|C10BX04|C10BX06	87333-19-5	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike-ACE2 interaction inhibitor, ACE2 binding (experimental)	HDACQVRGBOVJII-JBDAPHQKSA-N
33203	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Ni X (2021)	33850605	240527	10228	GS-441524	GS-441524|(2R,3R,4S,5R)-2-(4-Aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydro-2-furancarbonitrile|(2R,3R,4S,5R)-2-{4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl}-3,4-dihydroxy-5-(hydroxymethyl)oxolane-2-carbonitrile	-	CHEMSPIDER	28499294	C12H13N5O4	small molecule	-	1191237-69-0	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Viral Nsp3 binding (experimental) (PMID 33850605), antiviral activity (PMID 33523654)	BRDWIEOJOWJCLU-LTGWCKQJSA-N
33204	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Kim YS (2021)	34445310	240533	10188	geraniin	Geraniin|benzoic acid, 3,4,5-trihydroxy-, (3R,4aR,11R,11aS,25R,25aR,29S)-2,3,4,4a,9,11a,13,22,24,25,25a,27-dodecahydro-3,4,4,6,7,15,16,17,18,19,20-undecahydroxy-2,9,13,22,27-pentaoxo-3,5-epoxy-25,11-(epoxymethano)-11H-dibenzo[h,j]dibenzo[7,8:9,10][1,5]dioxacycloundecino[3,2-b][1,6]dioxacyclododecin-29-yl ester|(1R,7R,8S,26R,28S,29R,38R)-1,13,14,15,18,19,20,34,35,39,39-Undecahydroxy-2,5,10,23,31-pentaoxo-6,9,24,27,30,40-hexaoxaoctacyclo[34.3.1.0~4,38~.0~7,26~.0~8,29~.0~11,16~.0~17,22~.0~32,37~]tetraconta-3,11,13,15,17,19,21,32,34,36-decaen-28-yl 3,4,5-trihydroxybenzoate	-	CHEMSPIDER	10270376	C41H28O27	small molecule	-	60976-49-0	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike-ACE2 interaction inhibitor, Spike binding and ACE2 binding (experimental)	JQQBXPCJFAKSPG-SVYIMCMUSA-N
33205	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	sars-cov-2 inhibitor	target	Balkrishna A (2021)	33737804	240540	10261	withanone	withanone|WITHANONE(SH)|GY036XA633|(22R)-6alpha,7alpha-Epoxy-5,17,22-trihydroxy-1-oxo-5alpha-ergosta-2,24-dien-26-oic acid delta-lactone|MFCD09264639|Ergosta-2,24-diene-1,26-dione, 6,7:22,26-diepoxy-5,17-dihydroxy-, (5alpha,6alpha,7alpha,22R)-|(5alpha,6alpha,7alpha,22R)-5,17-Dihydroxy-6,7:22,26-diepoxyergosta-2,24-diene-1,26-dione	-	CHEMSPIDER	10294995	C28H38O6	small molecule	-	27570-38-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Coronavirus Project SARS-CoV-2 direct chemical interaction : Spike-ACE2 interaction inhibitor, Spike and ACE2 binding (computational)	FAZIYUIDUNHZRG-PCTWTJKKSA-N
